# visible | band                    | dataset                 | pol   | sampleModel | scalingOffset | scalingFactor | typicaMin | typicalMax | cyclic | fillValue | validExpr | unit      | decription                                                                                             | flagCoding    | flags                                       | ancilliaryBandName
# Diff_TBs_Type                                                                                                                                            *
  *       | Dg_af_fov               | Dg_af_fov               | *     | *           | *             | *             | *         | *          | *      | *         | *         | *         | Number of valid measurements with AF_FOV flag raised                                                   | *             | *                                           | *
  *       | Dg_num_outliers         | Dg_num_outliers         | *     | *           | *             | *             | *         | *          | *      | *         | *         | *         | Dg_num_outliers                                                                                        | *             | *                                           | *
  *       | Dg_num_high_resol       | Dg_num_high_resol       | *     | *           | *             | *             | *         | *          | *      | *         | *         | *         | Dg_num_high_resol                                                                                      | *             | *                                           | *
  *       | Dg_user                 | Dg_user                 | *     | *           | *             | *             | *         | *          | *      | *         | *         | *         | Number of measurements matching user filter in AUX_CNFOSF/D                                            | *             | *                                           | *
  *       | Dg_sunglint_L1          | Dg_sunglint_L1          | *     | *           | *             | *             | *         | *          | *      | *         | *         | *         | Dg_sunglint_L1                                                                                         | *             | *                                           | *
  *       | Tau                     | Tau                     | *     | *           | *             | *             | *         | *          | *      | -999.0    | *         | *         | Tau                                                                                                    | *             | *                                           | *
  *       | TBatm_emission          | TBatm_emission          | *     | *           | *             | *             | *         | *          | *      | -999.0    | *         | *         | TBatm_emission                                                                                         | *             | *                                           | *
# Measurement_Data_Type
  *       | Snapshot_ID             | Snapshot_ID             | *     | *           | *             | *             | *         | *          | *      | -999.0    | *         | *         | Unique ID of snapshot containing each measurement                                                      | *             | *                                           | *
  *       | Meas_Flags              | Meas_Flags              | *     | *           | *             | *             | *         | *          | *      | *         | *         | *         | Measurement Flags                                                                                      | TODO Measurement_Flags | TODO DBL_SM_XXXX_MIR_OSDAP2_0200_measurement | *
  *       | xi                      | xi                      | *     | *           | *             | *             | *         | *          | *      | -999.0    | *         | *         | Antenna level xi coordinate of measurement                                                             | *             | *                                           | *
  *       | eta                     | eta                     | *     | *           | *             | *             | *         | *          | *      | -999.0    | *         | *         | Antenna level eta coordinate of measurement                                                            | *             | *                                           | *
# other
  *       | Grid_Point_ID           | Grid_Point_ID           | *     | *           | *             | *             | 1         | 9262145    | *      | 0         | *         | *         | Grid point ID                                                                                          | *             | *                                           | *
  *       | Latitude                | Latitude                | *     | *           | *             | *             | -90.0     | 90.0       | *      | -999.0    | *         | deg       | Latitude (-90, 90)                                                                                     | *             | *                                           | *
  *       | Longitude               | Longitude               | *     | *           | *             | *             | -180.0    | 180.0      | true   | -999.0    | *         | deg       | Longitude (-180, 180)                                                                                  | *             | *                                           | *
